ID,Age,Gender,Course,Academic,Attendance,6,7,8,9,10,11,12,13,14,15,16,17,hours_week,days_studied_week,hours_at_time,time_day_studied
64,3,F,Business,4,1.0,2.0,5,3.0,3.0,2.0,3.0,4.0,1,3.0,5,4.0,2.0,5,2,2,1
67,1,F,Social Sciences and Humanities,4,1.0,3.0,4,2.0,3.0,2.0,2.0,5.0,1,3.0,4,4.0,4.0,4,4,1,2
68,2,F,Computing,4,2.0,1.0,2,2.0,4.0,2.0,2.0,2.0,1,1.0,1,2.0,4.0,4,5,2,3
69,3,F,Computing,5,2.0,1.0,3,2.0,1.0,3.0,4.0,2.0,1,3.0,3,2.0,3.0,1,2,4,4
72,1,F,Science and engineering,2,2.0,3.0,4,3.0,4.0,3.0,3.0,3.0,2,4.0,4,4.0,3.0,3,4,1,1
73,1,F,Science and engineering,4,2.0,2.0,4,2.0,4.0,4.0,5.0,4.0,2,4.0,2,3.0,4.0,3,2,4,4
74,1,F,Business,5,1.0,3.0,4,1.0,4.0,4.0,3.0,3.0,2,4.0,3,4.0,3.0,1,4,2,4
75,1,F,Business,4,1.0,2.0,2,3.0,2.0,3.0,4.0,3.0,3,2.0,3,4.0,3.0,1,3,3,4
76,1,F,Business,2,2.0,5.0,5,3.0,1.0,5.0,1.0,5.0,1,5.0,5,5.0,5.0,3,2,4,2
77,1,F,Law/Legal studies,1,5.0,,3,,,,,,3,3.0,3,,1.0,2,4,2,4
78,1,F,Business,3,3.0,5.0,3,2.0,4.0,2.0,3.0,4.0,1,3.0,5,5.0,2.0,1,5,4,2
79,1,F,Business,4,2.0,4.0,3,3.0,3.0,3.0,4.0,4.0,2,3.0,3,3.0,3.0,5,1,4,1
80,1,F,Business,5,1.0,1.0,2,2.0,3.0,2.0,2.0,2.0,1,5.0,3,4.0,2.0,4,3,4,2
81,1,F,Business,2,4.0,3.0,4,2.0,4.0,5.0,4.0,3.0,2,5.0,5,3.0,4.0,3,5,4,1
82,1,F,Art and Design,4,1.0,1.0,1,1.0,4.0,1.0,1.0,3.0,1,3.0,4,3.0,4.0,5,1,2,1
83,1,F,Law/Legal studies,5,1.0,3.0,3,3.0,3.0,2.0,3.0,2.0,2,4.0,4,2.0,4.0,2,2,2,1
84,1,F,Law/Legal studies,5,1.0,2.0,4,2.0,3.0,4.0,2.0,3.0,2,2.0,2,2.0,3.0,4,4,1,3
85,1,F,Social Sciences and Humanities,4,1.0,4.0,4,3.0,4.0,3.0,4.0,3.0,5,4.0,5,2.0,5.0,3,3,1,2
91,2,F,Business,3,2.0,4.0,4,4.0,4.0,4.0,2.0,4.0,2,2.0,4,4.0,4.0,1,4,1,1
92,2,F,Business,3,2.0,2.0,4,2.0,4.0,3.0,2.0,2.0,2,3.0,5,4.0,2.0,5,1,4,3
94,2,F,Art and Design,4,3.0,2.0,3,3.0,3.0,3.0,2.0,3.0,2,2.0,3,3.0,3.0,1,2,1,3
95,2,F,Business,3,2.0,2.0,2,2.0,,2.0,,3.0,2,4.0,2,1.0,4.0,5,5,1,1
97,2,F,Business,4,1.0,2.0,5,1.0,2.0,2.0,2.0,2.0,1,2.0,4,2.0,4.0,2,2,1,1
98,2,F,Business,3,1.0,4.0,1,2.0,3.0,2.0,2.0,5.0,2,2.0,3,3.0,2.0,4,4,1,2
100,2,F,Business,4,5.0,1.0,1,1.0,1.0,1.0,2.0,1.0,2,1.0,1,4.0,1.0,1,3,2,4
101,2,F,Social Sciences and Humanities,5,3.0,3.0,4,3.0,4.0,2.0,2.0,3.0,1,1.0,3,4.0,2.0,5,5,2,1
102,2,F,Business,3,2.0,2.0,3,,3.0,3.0,3.0,3.0,1,3.0,3,3.0,3.0,3,4,4,1
103,2,F,Business,4,1.0,2.0,3,2.0,3.0,2.0,1.0,4.0,3,2.0,2,4.0,3.0,5,4,4,1
104,2,F,Business,3,1.0,2.0,5,4.0,,2.0,2.0,4.0,2,2.0,2,4.0,4.0,2,2,1,3
105,2,F,Business,4,1.0,2.0,2,4.0,3.0,2.0,4.0,2.0,2,3.0,3,2.0,2.0,4,5,4,4
106,2,F,Business,4,1.0,2.0,3,2.0,4.0,2.0,2.0,2.0,2,2.0,4,3.0,2.0,5,1,3,2
107,2,F,Business,3,1.0,3.0,4,2.0,3.0,2.0,3.0,4.0,3,4.0,4,4.0,2.0,2,4,3,2
109,2,F,Business,4,1.0,3.0,4,2.0,4.0,2.0,4.0,3.0,3,4.0,4,3.0,4.0,1,1,3,2
113,2,F,Business,4,1.0,2.0,4,2.0,2.0,3.0,2.0,2.0,1,4.0,4,2.0,2.0,2,4,1,2
114,1,F,Business,3,1.0,3.0,2,1.0,3.0,2.0,1.0,2.0,1,3.0,3,3.0,2.0,3,3,4,3
115,2,M,Business,3,2.0,1.0,3,1.0,4.0,3.0,2.0,3.0,2,4.0,3,4.0,2.0,3,3,3,1
116,2,M,Business,4,1.0,2.0,2,2.0,3.0,2.0,3.0,3.0,2,3.0,2,4.0,3.0,2,3,2,4
117,2,M,Business,3,1.0,2.0,4,2.0,4.0,2.0,4.0,3.0,1,2.0,4,5.0,1.0,3,2,1,2
118,2,F,Business,4,1.0,2.0,4,2.0,3.0,2.0,4.0,4.0,2,3.0,2,3.0,2.0,1,3,2,1
119,2,M,Business,2,4.0,3.0,3,4.0,4.0,3.0,4.0,2.0,3,3.0,1,2.0,3.0,3,1,2,3
120,2,M,Business,3,2.0,2.0,4,2.0,3.0,4.0,2.0,3.0,2,4.0,4,3.0,2.0,5,5,4,2
122,3,M,Business,4,1.0,1.0,3,3.0,3.0,3.0,3.0,3.0,1,4.0,5,2.0,3.0,1,1,3,2
123,2,F,Business,4,2.0,4.0,4,4.0,5.0,4.0,4.0,4.0,1,4.0,5,2.0,4.0,5,2,3,3
124,3,F,Business,5,1.0,2.0,5,2.0,4.0,2.0,1.0,2.0,1,2.0,3,2.0,1.0,1,1,3,3
